Training RetinaNet-ResNet50, FPN_MODE=custom, 640px, 30 epochs
/home/aarav/attack_env/lib/python3.12/site-packages/torchvision/models/_utils.py:135: UserWarning: Using 'backbone_name' as positional parameter(s) is deprecated since 0.13 and may be removed in the future. Please use keyword parameter(s) instead.
  warnings.warn(
  ep21/30 it600/809 loss 0.711 lr 0.00025
  ep21/30 it650/809 loss 0.681 lr 0.00025
  ep21/30 it700/809 loss 0.526 lr 0.00025
  ep21/30 it750/809 loss 0.561 lr 0.00025
  ep21/30 it800/809 loss 0.504 lr 0.00025
Epoch 21 done, avg loss 0.510
  ep22/30 it0/809 loss 0.441 lr 0.00021
  ep22/30 it50/809 loss 0.539 lr 0.00021
  ep22/30 it100/809 loss 0.454 lr 0.00021
  ep22/30 it150/809 loss 0.546 lr 0.00021
  ep22/30 it200/809 loss 0.629 lr 0.00021
  ep22/30 it250/809 loss 0.507 lr 0.00021
  ep22/30 it300/809 loss 0.547 lr 0.00021
  ep22/30 it350/809 loss 0.631 lr 0.00021
  ep22/30 it400/809 loss 0.530 lr 0.00021
  ep22/30 it450/809 loss 0.462 lr 0.00021
  ep22/30 it500/809 loss 0.344 lr 0.00021
  ep22/30 it550/809 loss 0.537 lr 0.00021
  ep22/30 it600/809 loss 0.397 lr 0.00021
  ep22/30 it650/809 loss 0.547 lr 0.00021
  ep22/30 it700/809 loss 0.565 lr 0.00021
  ep22/30 it750/809 loss 0.536 lr 0.00021
  ep22/30 it800/809 loss 0.453 lr 0.00021
Epoch 22 done, avg loss 0.506
  ep23/30 it0/809 loss 0.515 lr 0.00017
  ep23/30 it50/809 loss 0.398 lr 0.00017
  ep23/30 it100/809 loss 0.566 lr 0.00017
  ep23/30 it150/809 loss 0.551 lr 0.00017
  ep23/30 it200/809 loss 0.493 lr 0.00017
  ep23/30 it250/809 loss 0.536 lr 0.00017
  ep23/30 it300/809 loss 0.506 lr 0.00017
  ep23/30 it350/809 loss 0.437 lr 0.00017
  ep23/30 it400/809 loss 0.544 lr 0.00017
  ep23/30 it450/809 loss 0.443 lr 0.00017
  ep23/30 it500/809 loss 0.470 lr 0.00017
  ep23/30 it550/809 loss 0.538 lr 0.00017
  ep23/30 it600/809 loss 0.376 lr 0.00017
  ep23/30 it650/809 loss 0.471 lr 0.00017
  ep23/30 it700/809 loss 0.547 lr 0.00017
  ep23/30 it750/809 loss 0.506 lr 0.00017
  ep23/30 it800/809 loss 0.497 lr 0.00017
Epoch 23 done, avg loss 0.502
  ep24/30 it0/809 loss 0.487 lr 0.00013
  ep24/30 it50/809 loss 0.451 lr 0.00013
  ep24/30 it100/809 loss 0.626 lr 0.00013
  ep24/30 it150/809 loss 0.487 lr 0.00013
  ep24/30 it200/809 loss 0.486 lr 0.00013
  ep24/30 it250/809 loss 0.548 lr 0.00013
  ep24/30 it300/809 loss 0.549 lr 0.00013
  ep24/30 it350/809 loss 0.566 lr 0.00013
  ep24/30 it400/809 loss 0.345 lr 0.00013
  ep24/30 it450/809 loss 0.521 lr 0.00013
  ep24/30 it500/809 loss 0.462 lr 0.00013
  ep24/30 it550/809 loss 0.525 lr 0.00013
  ep24/30 it600/809 loss 0.655 lr 0.00013
  ep24/30 it650/809 loss 0.461 lr 0.00013
  ep24/30 it700/809 loss 0.563 lr 0.00013
  ep24/30 it750/809 loss 0.492 lr 0.00013
